subs_id,family_group
102765.0,FAM_4
102763.0,FAM_4
135538.0,FAM_4
102783.0,FAM_4
135556.0,FAM_4
135557.0,FAM_4
102798.0,FAM_4
135570.0,FAM_4
135583.0,FAM_4
102817.0,FAM_4
102822.0,FAM_4
102826.0,FAM_4
135600.0,FAM_4
135602.0,FAM_4
135604.0,FAM_4
102837.0,FAM_4
135606.0,FAM_4
102839.0,FAM_4
135612.0,FAM_4
102847.0,FAM_4
102849.0,FAM_4
135620.0,FAM_4
135625.0,FAM_4
135626.0,FAM_4
102867.0,FAM_4
135650.0,FAM_4
135652.0,FAM_4
135653.0,FAM_4
135655.0,FAM_4
102887.0,FAM_4
135656.0,FAM_4
135661.0,FAM_4
102895.0,FAM_4
135668.0,FAM_4
102914.0,FAM_4
135689.0,FAM_4
102928.0,FAM_4
135700.0,FAM_4
102932.0,FAM_4
135704.0,FAM_4
102937.0,FAM_4
102938.0,FAM_4
135707.0,FAM_4
102944.0,FAM_4
102945.0,FAM_4
102949.0,FAM_4
102951.0,FAM_4
135723.0,FAM_4
135726.0,FAM_4
135731.0,FAM_4
102966.0,FAM_4
135744.0,FAM_4
135751.0,FAM_4
102983.0,FAM_4
102985.0,FAM_4
135754.0,FAM_4
135752.0,FAM_4
102992.0,FAM_4
135768.0,FAM_4
103000.0,FAM_4
103013.0,FAM_4
103015.0,FAM_4
135783.0,FAM_4
135785.0,FAM_4
135786.0,FAM_4
103018.0,FAM_4
103026.0,FAM_4
135796.0,FAM_4
135797.0,FAM_4
135799.0,FAM_4
103033.0,FAM_4
103038.0,FAM_4
103047.0,FAM_4
135815.0,FAM_4
135824.0,FAM_4
103057.0,FAM_4
135826.0,FAM_4
103060.0,FAM_4
103061.0,FAM_4
135828.0,FAM_4
135835.0,FAM_4
135837.0,FAM_4
103072.0,FAM_4
135859.0,FAM_4
103095.0,FAM_4
135866.0,FAM_4
135875.0,FAM_4
135885.0,FAM_4
103120.0,FAM_4
103121.0,FAM_4
135896.0,FAM_4
135899.0,FAM_4
103148.0,FAM_4
135921.0,FAM_4
103154.0,FAM_4
135931.0,FAM_4
135935.0,FAM_4
135938.0,FAM_4
103194.0,FAM_4
135963.0,FAM_4
103200.0,FAM_4
103207.0,FAM_4
103208.0,FAM_4
135975.0,FAM_4
103210.0,FAM_4
103211.0,FAM_4
135978.0,FAM_4
135982.0,FAM_4
135983.0,FAM_4
103216.0,FAM_4
103220.0,FAM_4
103226.0,FAM_4
135999.0,FAM_4
136001.0,FAM_4
136010.0,FAM_4
136011.0,FAM_4
136012.0,FAM_4
136013.0,FAM_4
103250.0,FAM_4
103252.0,FAM_4
136023.0,FAM_4
103263.0,FAM_4
136039.0,FAM_4
136042.0,FAM_4
136045.0,FAM_4
103278.0,FAM_4
103279.0,FAM_4
103290.0,FAM_4
103291.0,FAM_4
103292.0,FAM_4
103294.0,FAM_4
136065.0,FAM_4
136069.0,FAM_4
136073.0,FAM_4
136076.0,FAM_4
136077.0,FAM_4
136081.0,FAM_4
136082.0,FAM_4
136086.0,FAM_4
136089.0,FAM_4
103323.0,FAM_4
136093.0,FAM_4
103331.0,FAM_4
136107.0,FAM_4
103342.0,FAM_4
103347.0,FAM_4
136118.0,FAM_4
136121.0,FAM_4
136123.0,FAM_4
103356.0,FAM_4
103362.0,FAM_4
136132.0,FAM_4
103372.0,FAM_4
103373.0,FAM_4
136142.0,FAM_4
136141.0,FAM_4
103380.0,FAM_4
136149.0,FAM_4
136157.0,FAM_4
136159.0,FAM_4
103392.0,FAM_4
103398.0,FAM_4
136174.0,FAM_4
103408.0,FAM_4
136177.0,FAM_4
136178.0,FAM_4
103414.0,FAM_4
103416.0,FAM_4
103419.0,FAM_4
136188.0,FAM_4
103424.0,FAM_4
136196.0,FAM_4
136202.0,FAM_4
103434.0,FAM_4
136206.0,FAM_4
136208.0,FAM_4
103440.0,FAM_4
103454.0,FAM_4
103455.0,FAM_4
136223.0,FAM_4
103461.0,FAM_4
103462.0,FAM_4
136231.0,FAM_4
136230.0,FAM_4
136234.0,FAM_4
136237.0,FAM_4
136238.0,FAM_4
103471.0,FAM_4
136240.0,FAM_4
136244.0,FAM_4
103477.0,FAM_4
136245.0,FAM_4
103488.0,FAM_4
136256.0,FAM_4
103491.0,FAM_4
136261.0,FAM_4
103496.0,FAM_4
136265.0,FAM_4
136267.0,FAM_4
136268.0,FAM_4
103507.0,FAM_4
136279.0,FAM_4
136281.0,FAM_4
136284.0,FAM_4
103521.0,FAM_4
136297.0,FAM_4
103531.0,FAM_4
103532.0,FAM_4
103535.0,FAM_4
103537.0,FAM_4
136321.0,FAM_4
103555.0,FAM_4
103562.0,FAM_4
136330.0,FAM_4
103565.0,FAM_4
103570.0,FAM_4
136338.0,FAM_4
136343.0,FAM_4
103580.0,FAM_4
136349.0,FAM_4
103582.0,FAM_4
103583.0,FAM_4
136352.0,FAM_4
136360.0,FAM_4
136369.0,FAM_4
103603.0,FAM_4
103604.0,FAM_4
136374.0,FAM_4
136375.0,FAM_4
103608.0,FAM_4
103611.0,FAM_4
103614.0,FAM_4
103615.0,FAM_4
103619.0,FAM_4
136392.0,FAM_4
136397.0,FAM_4
103634.0,FAM_4
103636.0,FAM_4
136404.0,FAM_4
136405.0,FAM_4
136407.0,FAM_4
103642.0,FAM_4
103643.0,FAM_4
136414.0,FAM_4
103648.0,FAM_4
136416.0,FAM_4
136422.0,FAM_4
136424.0,FAM_4
136437.0,FAM_4
103676.0,FAM_4
136446.0,FAM_4
136454.0,FAM_4
103688.0,FAM_4
136459.0,FAM_4
136465.0,FAM_4
136467.0,FAM_4
136471.0,FAM_4
136476.0,FAM_4
103710.0,FAM_4
103714.0,FAM_4
136483.0,FAM_4
136485.0,FAM_4
103737.0,FAM_4
136505.0,FAM_4
103738.0,FAM_4
103740.0,FAM_4
136509.0,FAM_4
136510.0,FAM_4
136518.0,FAM_4
136525.0,FAM_4
103759.0,FAM_4
103760.0,FAM_4
103780.0,FAM_4
136550.0,FAM_4
103788.0,FAM_4
103789.0,FAM_4
103790.0,FAM_4
136559.0,FAM_4
136558.0,FAM_4
136557.0,FAM_4
103805.0,FAM_4
136575.0,FAM_4
136586.0,FAM_4
103827.0,FAM_4
103828.0,FAM_4
103830.0,FAM_4
136604.0,FAM_4
103841.0,FAM_4
103844.0,FAM_4
136628.0,FAM_4
136630.0,FAM_4
136631.0,FAM_4
136636.0,FAM_4
103869.0,FAM_4
103873.0,FAM_4
103875.0,FAM_4
103877.0,FAM_4
136646.0,FAM_4
103878.0,FAM_4
103884.0,FAM_4
103887.0,FAM_4
136656.0,FAM_4
136657.0,FAM_4
103892.0,FAM_4
136661.0,FAM_4
136664.0,FAM_4
136665.0,FAM_4
136666.0,FAM_4
103899.0,FAM_4
103900.0,FAM_4
136669.0,FAM_4
136671.0,FAM_4
103903.0,FAM_4
103909.0,FAM_4
103914.0,FAM_4
103919.0,FAM_4
103932.0,FAM_4
136700.0,FAM_4
103936.0,FAM_4
103940.0,FAM_4
136713.0,FAM_4
136715.0,FAM_4
103948.0,FAM_4
103949.0,FAM_4
103950.0,FAM_4
136721.0,FAM_4
136723.0,FAM_4
103958.0,FAM_4
136729.0,FAM_4
103964.0,FAM_4
136735.0,FAM_4
103971.0,FAM_4
103981.0,FAM_4
136750.0,FAM_4
136752.0,FAM_4
136753.0,FAM_4
